(360, 40)
314361,582906,652306,782524,-314896,-28427,389508,-13250,177917,-577982,-642375,756934,-724713,-302628,325865,-137454,-251275,697002,-580664,-122517,53257,547657,544339,559107,-248245,143552,-277953,232290,285204,-404994,309754,-273990,-82316,-27952,-162062,-326424,47372,30835,85150,-89320,-122971,-111105,-55626,44191,33787,60708,-20874,-59155,14032,10382,40035,-105485,-79077,50635,-32287,93793,107317,-87039,-2393,-55011,-116710,45071,32508,-99723,-113534,-87794,2834,45762,-17755,-94524,-64608,-30595,57726,-32290,115205,142265,22437,-63127,-55429,131756,-51103,126436,-22460,114183,56955,97503,105908,107634,-46567,-92129,67312,14085,104093,85933,-33610,-128253,61240,62304,65380,576,-7866,117552,-97120,88750,86034,15158,-45909,101647,-2269,95102,112538,67264,29821,67237,-31664,5447,-47020,84417,-28321,-75681,39663,71920,66492,-74758,11534,85736,-23782,4221,54963,-50574,96039,129285,-29643,121477,49782,-103951,77805,-75657,114424,-80246,26150,-92490,77275,124485,-74496,-106733,115521,-40691,76745,3349,-51252,-18145,-17567,-12592,134559,68223,-90772,-62476,-101765,51739,7556,95201,70228,9579,-67181,15685,-113164,97013,3901,-44236,-46002,110477,-6504,-16223,-53477,89925,-4016,-8657,70926,-39662,-59135,-61755,-61513,64911,77536,-118399,56922,-109467,-6700,-97602,-60753,-134722,-141070,-100230,-1660,-16333,77038,-83949,89839,-19476,69623,-70556,-78310,-16360,-48983,-137572,26713,29830,25236,20483,43260,19921,-130672,-102793,-26516,51398,-84696,-116400,68009,121327,53541,-7753,-86971,52742,53812,80480,103266,101293,-2567,-27318,83778,46480,-41152,75573,119520,-846,-72762,-39777,-59422,105255,104322,-70598,70506,95958,29559,-11995,-66020,-77503,-41166,113402,25651,-8106,-40423,-94996,38670,27038,-89888,-116679,95972,-5502,-78604,52472,83839,-12232,49735,-73368,-105503,-93702,-24773,15246,-74666,-4249,14830,-35072,-7519,88318,51279,78398,79742,-90948,19298,-33115,-70276,84822,-29399,-94530,-70231,-8293,81411,-137422,43637,11685,-38912,69286,-90578,-7422,82520,53756,102578,16713,105036,99443,-64591,86488,13085,-63969,61241,16557,-24311,-112990,-69991,-25150,-42140,19348,52786,3317,65481,-127068,56003,-56752,-91005,5111,-15880,-87581,26684,-94037,-124404,-127358,-104373,-29025,-84007,-84664,-85688,74717,-55710,-105578,-76472,70443,72765,-12225,-63060,72632,-132418,88862,55403,63607,15387,28847,-15620,-40925,102731,-10128,-122316,-124493,-15362,8014,-20745,52167,-130550,97131
-886692,-263477,253734,208204,-176910,-343526,-202255,-14148,-136989,91918,267234,-68791,28887,-653785,-867144,-743036,-68538,-9939,59877,401255,179080,-107139,26553,-249314,349992,480579,128526,194483,210680,-200450,-94869,-213925,79891,501935,671186,225959,58072,71209,-34799,102189,109805,-90885,-11664,85566,50464,-83621,-70064,-58008,-39441,-40145,-18655,-30188,17393,15346,-87917,-73520,-33391,73505,-90816,-77822,38069,72305,-108692,114275,-83220,-73637,23256,24528,-55264,18724,-106085,94135,-74588,121228,28730,22481,88557,24785,14224,37587,-38139,-36927,26745,-78147,-61704,-58200,-48962,41402,-94504,118827,-53274,-53910,-59978,-3927,-4702,-42813,-74029,44914,-43657,-47035,990,-23314,-62823,42152,-99443,19530,-23398,54153,-53559,74670,-98337,108831,44803,30290,-94353,-97877,-123261,49029,-69932,-60646,-73761,22371,-94326,-78471,116782,-103365,-121426,107667,-78474,-41012,-59394,-116303,-11281,-78839,-84839,8277,-42948,-8467,68329,94178,26776,68085,-21139,-38445,73237,119143,-86747,-14674,72710,4871,120956,-89460,1618,-49919,-65213,18302,-3870,73759,94851,118269,97282,26436,-83107,-896,78677,71849,-86354,-95394,-96253,86456,6753,-82031,14404,93856,67795,-95423,-53543,-138447,115104,76417,-82885,129902,-54366,-53505,-99723,-22126,-103185,93822,54296,78267,-3994,-94194,44654,-62288,-36692,94136,-87845,43808,-8314,9151,91271,-77467,38605,-77159,6618,46332,-30406,89588,25962,69611,-70397,76662,13282,-76047,78644,115673,35687,117573,110437,-79903,94171,-37318,-30741,76341,-98871,1799,-95142,122211,-78386,74979,113316,-18470,-73030,120592,-76091,53531,87815,71315,-80959,-90252,-44463,-25423,36149,-34225,-15848,-70536,-94789,77488,-64943,109864,8144,-101016,130114,107060,-97912,86499,-36929,-3963,-46366,41593,103122,-96447,-24944,-58604,62062,-55976,27229,-96327,-66622,120788,-106136,98366,-58122,-86418,-55362,-83750,33044,-33507,-110227,105234,41597,-104716,3109,28194,125050,-14480,-84888,-92801,55392,72387,-111842,-63223,52248,66395,-107891,33323,17183,33479,-35037,3857,-92481,-1591,54429,-92221,12664,83810,13643,-61753,76916,-22378,-82842,-10451,102243,-35078,75126,95997,-25061,-99102,51016,-98939,6872,-63904,99375,-80246,-41010,13585,84483,-50487,-55735,-31589,-104748,116021,-77922,110592,-91568,-46458,-71222,55474,75216,-106369,-98938,80949,88078,121854,87456,-10144,11903,-715,-25131,85746,-18654,83896,-14978,106586,-99591,-92588,-31099,-7384,80252,22627
180261,38036,27585,-3360,36181,-68773,-8571,-53621,21359,53807,-71823,15433,50502,11377,43035,-33792,89619,-30591,-48996,64809,-45641,104253,44438,18315,95768,-79219,42986,-186231,-151393,-48827,97409,143479,-61286,120080,66228,16029,36562,72012,-10682,-10752,72109,47637,65290,12052,133534,38384,-79729,-76459,96344,58665,94924,102967,110714,16317,-82999,62584,-3013,-20325,3718,-23784,-46320,11283,112621,43055,160270,-41404,124891,139782,-46207,-65415,-2315,121084,52210,-42685,102661,-26340,156055,130995,156740,-76165,63511,-72440,-37953,61058,31265,-69002,17586,87118,108377,-117951,-46389,-62212,-67770,69845,-34904,-109024,-92861,101475,-32788,137978,-60507,-107480,192729,7380,-87123,-61580,-5856,58803,32424,-142113,-127206,22350,-96272,-39722,56577,44820,-115886,-132847,-11574,20161,55852,-67208,-11852,-141226,-70274,-106148,-57445,-113250,103123,-97884,-53591,5993,-19440,-138396,-53960,77929,-42153,-95720,-71448,-44072,-148006,41669,-14488,75505,156399,-10023,59301,39619,205756,-1487,10417,124263,-39422,90383,-69052,-63557,97134,24555,-97606,-3924,8642,76301,-21670,52743,15036,-63900,113010,-84237,-57890,5572,161047,150202,46995,51262,-83933,-7044,119568,-86721,-56631,14643,-36453,100289,4586,143635,-19932,77996,-52778,135066,-18348,147066,100989,58651,3473,-11744,-73823,67839,-76825,66434,-62229,48669,30050,23145,-31657,-59378,-1893,37679,-19647,-73774,100643,43266,8215,-63001,116977,-2088,84603,-52104,37143,86941,-32271,-104659,-121528,-74591,2967,100100,-3493,-48162,-84634,98702,55541,-52656,20973,-14481,81437,54785,-50024,-39471,-102555,-125105,-93663,62522,-16532,-7212,-23827,-116466,-101072,-122857,-76582,78810,-33941,-25042,-98238,-49587,18113,-63610,87134,-40959,28611,144617,101550,37918,26074,-48601,63385,-50671,174465,-14266,-32475,24360,65400,-19905,29839,159956,89123,77458,17315,86961,-8066,-26390,25604,-61871,65505,136270,56506,-39182,153818,27977,52948,-52810,134680,-16610,57938,-79777,20668,-39162,61530,-90767,103064,52976,-34128,-20832,56641,-9963,-326,34177,83413,63510,95695,96393,-113435,-77864,58889,35192,-35422,-39945,7470,93894,28330,-83422,-95182,135688,-86726,10584,61963,70324,123274,-32812,-32360,86527,-83116,-53454,-73129,103095,124949,-22434,91530,-78586,122599,7090,-31145,156433,-22351,158789,79411,-73821,-74676,-31985,149346,122776,20608,-63510,-8097,62269,-11037,5833,149754,153382,18970,81701,-62834,27034
522055,-100911,-312026,-350331,4994,621402,-52174,330435,-151836,33731,572753,1048511,159234,141714,284176,-86759,300616,885785,-218592,63807,353787,-298441,-543337,950286,-504703,-296721,66106,337185,20371,308084,-226425,266118,263899,-169729,-161210,-652061,107580,-103418,-7689,-88056,99291,92278,3876,-49455,-106580,-12476,-117550,114615,-6609,-74499,-118037,58088,-71915,11550,87351,2928,107148,-70728,-95439,-666,105828,-62030,47194,-3011,-76766,-63944,4884,114882,-80955,-36900,-60916,-41480,43082,91187,58108,-41644,-54898,-52710,2641,44744,-12957,67734,94836,-51331,50145,-27439,80506,-39110,-6142,62621,-25687,113561,-60456,-11144,84973,148674,-3340,13916,17931,-119787,-87842,-27715,81244,91213,-15013,256,59558,43472,-50983,23346,-79246,3927,55944,990,93560,120864,-11592,106525,-92247,-71655,-93616,-56353,-110200,9691,-48120,-16232,49426,10681,-114362,124945,82159,56635,-29832,55255,-108784,-126279,-72137,-52108,23833,108446,-16776,72087,92544,90780,-15553,-33998,-119535,-6541,15977,-15556,54613,-130118,-36334,24981,1384,-124628,-82429,73538,-116016,-52515,111839,-105826,47596,25088,27098,80773,-3409,55408,-37448,-2205,-82991,-33691,-126628,15491,8738,-76654,81387,10874,80587,-67063,43572,102627,-6583,-52692,-109259,-1665,-87425,76167,-28074,-45132,-116467,89668,6649,118462,29339,-50643,-85361,107571,-109240,108541,43321,-104200,-57074,118380,106066,-24607,-82028,-106977,-61431,69379,22113,116726,-43214,81578,-63697,-83374,-74245,-112506,-36753,-116641,100534,-77107,-83213,-88671,6746,26362,8430,-102518,67527,-20799,78192,-28858,-25388,-33936,13773,-116050,-79585,-94570,-68519,-89637,-59584,-4750,80686,-58019,-114722,19916,-620,-43561,-112004,27631,50252,29476,29448,-31472,24937,86368,22529,114854,-78979,-54021,78240,99327,-22718,-89314,49876,-101704,11097,-65931,77507,83059,72710,99586,113177,32397,-62617,115046,-2119,-54146,-91705,-89512,77206,-112093,-47031,-82557,-4196,83549,-59980,-13548,-54343,-25112,-21079,-135063,44922,111548,27770,51132,66949,-60113,80660,16650,71326,3983,86070,-95248,81570,93396,36481,68729,-72887,59519,-67087,110310,15312,12244,109329,-102189,14990,93814,-36254,-108124,-118840,16948,23461,-84369,22435,-94363,-62559,27759,-4096,99549,-5802,3131,47877,55829,103395,96684,13153,117181,117956,-50981,54388,107337,20828,-72264,110619,105044,106468,-102403,117796,-53748,17247,39227,-13697,94052,75548,-37241,46006,-28246,-90294,72071
-25644,582634,624605,283057,33972,-432896,446425,-55115,-280598,-371989,54579,1030785,320839,29350,76743,-25268,137630,757452,516488,216869,783660,246189,-660284,-381776,5143,-264296,276605,539607,-50024,-128524,1026003,-47196,-308737,-611559,-667943,20922,-99314,-127237,-77150,-14290,-89348,-72879,-75172,-61089,22115,78901,98926,71289,80988,-78361,-32505,44197,-64276,-117303,-124388,-77640,65279,101648,86522,48916,-101489,72267,45906,-97062,-41113,85770,37844,104353,-66319,57447,-60292,44609,43602,-76503,-6537,63309,-57478,-68034,-21376,-68623,38935,72898,104054,-43052,113178,54423,-77403,-18801,-79812,40923,118501,30501,29678,27073,1199,25681,119273,72809,-132749,-81673,121934,56546,-8367,-65155,13237,11798,-47922,104334,46588,-54405,-8972,-95317,-36445,84948,97231,41530,113523,43937,-110095,-89985,25215,120653,-31654,-31195,114584,29356,16357,12692,-72229,-9304,81592,-41651,-49893,-32076,-42758,-13586,-5049,66725,-70369,30390,-5961,-29248,19052,38366,11685,-48435,-48519,-68324,-27062,-46399,9352,121819,76718,38398,-25217,-103901,22317,-55749,38463,-96664,-74600,-40106,8182,-14332,-519,126160,68307,71458,102784,22409,-98840,29866,-99526,31564,-74308,-1280,63331,39311,-13292,54451,-47573,-18706,-3419,6767,-35560,-7040,-119689,-32689,72460,-66664,-120361,76434,80999,-61024,-127270,-66316,-71840,-37019,99507,87971,-100536,-18289,-23787,59470,-31199,-28338,56149,-35382,-82356,91712,55099,62488,90737,-73695,-105385,13139,-108175,68395,26862,15228,-120404,22511,57378,-1194,55236,2526,-91789,17913,16175,6030,-13080,15214,94685,34057,6465,-143774,-139314,8912,67561,-113492,78203,-7849,-56006,-75790,-106871,-80984,-25703,-66666,19248,-9355,31718,-87425,-43970,33090,-68657,99872,-83697,94733,-61626,-22607,43389,17013,67075,94086,-72849,77494,18148,15149,65294,-35570,17657,63783,-99458,102829,16105,-40237,89581,110689,-21546,-78073,-109337,-25217,111493,-71996,-56533,-65758,-32844,93116,77888,76420,-81751,-115691,94141,47908,-128689,-56173,-16460,-110667,14764,-45431,34684,67269,69824,106561,-61783,-93977,26228,-36752,-54600,-71521,-93356,89329,56125,-77374,-125505,82656,108496,19967,-96206,15519,-118667,79335,-16976,99727,-103187,-57594,-71602,-109225,84784,-107806,16183,-93960,-115218,43315,-61244,-128706,-24157,78351,35915,-120345,40872,-89675,-92779,-90928,17778,-92266,-102389,-37410,-38641,-2580,-5169,77632,-3591,89507,84002,-124339,-126329,15523,-66191,-27158
-263780,-1084690,-912656,-749797,-438571,58254,69318,-20293,216750,298378,215454,-212867,-194349,-230905,-63252,-212849,12660,118573,7675,470671,265005,65899,294245,57014,232896,464247,162361,-11846,67028,-85319,321703,-408877,-539627,57943,210301,545518,-113513,-61759,-62456,60768,-34309,-15346,50951,46867,74126,113415,33232,63795,76031,55601,-55765,94895,35709,71620,4545,-6210,76757,-10134,83811,-56217,3985,109212,70611,-76948,22968,19425,-39592,-73033,14764,49983,-101102,12474,17054,-86936,11680,89131,77884,-90557,-47393,-6623,103211,9712,-66487,53114,13661,103358,127414,-106932,-54595,99215,-102960,-120706,-42614,-121361,69601,86709,27353,86265,39693,-139413,-137222,-104232,-91988,-101820,-34447,19107,-1223,87643,23680,-116604,-52294,-133166,100514,80965,101912,-36319,28644,-49881,-30334,12485,-62727,-109171,115574,-137215,-25453,58637,22956,-119030,-69439,46156,62532,-101056,96733,-78636,-23967,-13625,-95287,-67645,-86217,54054,21244,-98808,115943,-98084,-124655,23627,-63121,-118424,68420,83350,57448,-124323,-43875,-43979,-29271,-24180,-70821,88903,-119777,-7585,98824,104738,-89461,26771,69505,-110575,-1750,60540,115026,92910,118617,58264,-38637,-65530,17519,121268,30614,-6676,188,104332,-16357,119638,77800,8498,84489,15493,105928,4578,13791,-102564,-75650,121370,68915,-43081,119998,98822,-83090,67128,-99132,72434,53478,2271,52308,43363,72258,-38715,18833,-98113,-105949,-61548,60210,-50511,76177,-30280,-36885,95665,19160,16882,101580,-91646,27770,-107769,114608,95694,-109162,41316,-58689,-37077,-107733,38650,-129961,-60098,-89119,16681,-112537,-102903,-120984,70428,46625,-56962,107748,63017,-65993,-59830,121220,-68378,-65796,-34891,17498,-42996,81764,66478,51349,104312,39223,126130,-23643,-77749,45514,35556,-23513,-95762,-81976,35180,17600,-76775,98247,-22830,-21726,-101053,37372,-95400,65282,106002,38861,13498,-10166,57023,-63833,31267,-103868,-61910,95662,98537,-61785,63022,86454,87491,-76921,60237,59913,-134851,97335,35961,61896,-19125,-61286,-116431,95368,39621,-112414,-116546,-64460,-74718,-24581,-100594,2431,-55617,-37061,-19522,118326,576,38516,-82336,-122205,-50381,66989,-69601,88111,-96566,65806,-28359,85334,-81807,50189,639,-71606,83330,122100,52227,-66590,-92701,13357,98692,39575,-115021,64343,-18711,-93770,45896,-102081,125193,-52972,-46331,-71546,-94042,83150,-73567,51170,126861,79183,125617,-1696,-3949,64130,119394,33187,69761,-89442,68203
-781387,-39245,1039357,577963,-498859,-656798,-84570,-191251,-513135,28347,510555,341752,-350716,600150,96889,411777,620504,189502,-610270,441377,110349,150451,486181,612647,-111630,239897,-159123,-78481,749382,324318,-837376,52064,-147636,-250836,70897,-418195,84900,-48403,22663,62112,-67368,-67016,-42384,-6627,109717,-60122,73873,-115474,-58987,-1871,-113203,121933,25793,87345,-57819,11606,37647,-108529,-89643,7898,-115586,-106927,-41378,-21451,64562,-41027,-6036,101885,118607,-95361,-102565,-6291,-43235,113131,28104,-4079,-102516,49972,-120492,-86549,72131,-3512,192366,122048,26584,70081,-151575,16394,10657,21964,41028,-13114,-81219,8653,-28696,-36711,-67114,81078,23894,95446,145193,138627,99263,-33203,90612,-9164,111530,-4365,2899,35863,-53664,94634,89947,47473,-128480,-4359,-107346,-12904,-14422,104749,-41115,13222,55257,73396,81607,-76187,105325,-8922,101036,75263,-14235,52781,70873,47352,-9595,-15267,64045,105106,-79210,-23859,38028,-75457,13618,14842,-29727,38275,-10722,-17857,35201,-35071,67455,-64819,-37630,19410,-3631,47091,-56779,66146,69125,-56618,-32412,103463,35750,127045,116488,-116796,-9078,-69594,101601,73491,101711,-58451,-39133,-121220,111479,-33526,-5865,82181,-87375,-9142,6785,30791,-57015,64131,29446,-5841,-41720,6366,52956,91299,-89170,55120,44468,63190,-17052,-3410,55864,107121,9728,91803,81912,-110196,-54902,-28722,99551,28322,-54212,-36416,49260,121287,43150,74046,-88744,5663,-112634,-88361,921,-18516,34443,-18974,131999,23738,-103510,53003,-67109,-11904,-80384,46326,88447,-33815,20877,69108,-19085,131717,-82752,6334,-393,46616,-91113,131627,-97278,-75542,-31598,-13181,-24438,-62767,-106543,42213,121510,81752,-66972,-59812,92903,6556,-40604,3557,28383,55600,-41147,-45394,112697,-62571,-124715,119767,30363,75250,-36186,101307,21644,51825,46820,-88904,77828,8133,-21826,86953,51865,17598,83935,-91166,34689,-608,-121702,64117,-7627,-115035,5858,-105602,94497,87750,-112278,3588,-107842,32165,71418,-77633,125258,1460,-104102,92965,-33040,39109,-38861,60355,52950,94009,-32690,-88694,105325,24969,107958,73503,110553,-5577,-61955,-7794,51031,-40258,-111487,-40677,82315,5886,28227,36746,-8757,-52646,112327,64688,-103989,26709,-80911,73064,96938,12151,79271,36070,50757,86457,-41043,-7170,17023,-94232,56701,-61812,68704,-122047,92398,-66382,87040,52445,-110336,-66013,103288,-54879,-82659,49042,-36082,35124,-73083,37528
-152275,-168006,-771992,-797590,-128213,-190916,22829,672685,132575,29690,303392,621478,-366109,-27584,-221774,-253883,183386,663664,-1135787,363067,529676,224392,-231475,339055,99859,267537,538493,406437,565315,682949,171379,-87474,-276747,-205056,-6877,147356,-109308,2542,-55370,72595,205,-20878,81804,-70638,-118660,-16003,58383,5576,35576,-23542,-113337,-42681,47620,50810,94772,41367,-72404,53323,-4942,104589,-3316,7566,21910,47838,-88106,-45801,-44440,-114904,-92449,-87237,29398,52665,116219,48127,67932,49287,-69261,34127,-75528,105541,-127976,-24324,-10348,86889,57814,175251,110597,71716,130938,30324,114674,22354,93554,-22225,89890,-75683,-101494,126325,130196,-28952,82197,48286,-92167,-114035,-10629,-34912,61431,-41326,-50185,61152,-59416,74638,49854,-64589,-95046,60003,23404,-43356,5661,72382,9250,-76411,34996,41571,-112901,-60297,55770,-26279,102683,90039,-65967,-132376,21772,-56792,40220,-73527,105449,-114971,99553,73400,20887,116025,-89893,-31941,-38960,23787,23741,-3793,-118625,-127377,58983,-52350,-146478,-146772,-100344,-45802,58797,108623,74915,96677,123934,35404,102287,-33403,-58041,-70776,47538,64890,66401,108684,90221,-31711,-65761,40384,-89537,33727,-15097,101765,-114807,16840,-82533,14317,-51780,-1181,60822,-26433,-102801,102660,-80736,-88457,-123626,-6038,114764,-100851,113445,71743,109586,-15872,-89189,-78631,-41556,1164,-88978,79084,-52027,-7598,23389,76916,-69539,14360,-115243,53922,100632,-90211,68197,109352,15643,25331,43194,-70439,14012,-120416,57196,-34543,116921,-88001,-45378,69291,31846,-105855,43201,-99388,-105196,78921,103432,-30072,-53514,55325,-58905,92636,-72953,-86053,-91400,-87,20808,-78347,79685,75665,31804,45553,-71245,50484,67042,-30471,429,99284,-24148,-123300,-31194,-43476,-83709,54133,-46659,42398,56714,39151,57475,123758,-17257,-8170,3720,60313,-122598,82736,36900,-88658,-86417,1946,40680,-69070,-119806,92897,9149,37899,-27841,-58488,38835,-49337,8515,102380,59942,-75631,47092,-30586,34106,50601,64349,-14992,111731,53806,-131511,39114,42107,-11301,23938,68959,44110,-31549,87278,11878,9997,-76553,-75560,-110563,-31044,103041,112633,-78533,4128,7046,-4571,86532,106383,-127914,-22184,54884,-73156,-82786,53145,-45808,-125361,93086,92919,22919,68922,-4590,-38930,-12997,35766,69252,44899,-66806,-36446,20884,-89347,-55965,59996,-29037,-95993,-49714,95662,49361,72069,11261,101540,114280,-18799,-101795,65926,115076
-8985,-139566,4869,4311,5478,40129,126403,115927,-11106,65629,-22176,-73812,-89631,-54278,-8472,-17011,24223,102708,155749,-23629,119720,110661,-36739,164366,41675,29253,-71892,-19469,-77669,-37394,-36186,133301,29326,21652,-53091,-108341,67843,-26885,-55927,-162903,11287,7085,609,38147,-63556,-134589,-126576,-35640,-61657,-116733,-70340,-87699,48492,-10318,-63854,-96450,3409,-137992,-158595,-143573,-46925,-132322,-66393,-118588,61340,-17496,-109853,-80427,-19787,-109116,-14584,28915,33674,-87560,30326,94993,-35574,-90864,-129483,169627,87614,-15058,-327,65940,-92909,57573,142093,-82252,1183,-119454,-92542,-86006,6677,-60897,35233,76525,40542,-32012,-33071,-64507,-48413,111197,-102120,-117419,-29652,88928,-76445,87619,-23910,38202,83474,-61133,-79872,87770,-53038,28352,105101,-84614,-92951,-119721,116802,-519,4056,83813,102319,40845,-24621,20309,-41691,64183,2752,-39726,-702,43641,67421,87183,-2505,48370,-40855,119248,-157,-49993,100705,-45921,25125,-28073,3325,11013,-45892,88522,134745,88053,-16723,45883,45866,150467,31453,165184,-73194,-90600,-65381,-11473,-75094,-66096,74942,73095,82473,137097,37194,11839,-75496,8830,5635,-15198,-44473,66876,40415,-25006,-41445,-18665,-120398,-119087,31620,-54934,3333,-8492,-131437,37680,-109551,-91002,33360,11076,-134174,-140574,42000,34809,-29984,77173,-104024,1248,73934,-114100,28874,-80448,-99528,-64858,72145,-87313,28661,-85585,55671,7653,4162,-146068,58157,-9951,72168,-58735,-61870,-3886,8537,-24750,-40204,-105058,658,-128372,-81402,-65403,56132,-101625,-7094,84127,64076,-74228,-120046,-50226,-12327,95228,50927,-48065,73241,56802,-88349,-81719,-72357,39166,38164,57268,32597,60842,51381,-44934,27708,41613,-107584,61832,80547,19857,-141828,-29422,-34427,38763,27216,-40427,33594,61921,57121,-51456,44989,-97097,-109758,-17779,56902,-147245,-120348,-59042,-8353,-103250,29131,-22622,47994,-73249,-1393,-54181,44331,-82571,75396,-138990,-18442,-33965,-79739,-20567,-31547,-135179,-135608,78257,-110216,67837,-117339,-120189,17792,-81633,35235,72160,19538,-82527,-121744,80460,-85646,-124456,-891,60678,-58050,-55154,74365,-27070,-74798,-153614,-142053,75865,67390,-54257,-53953,73020,-144909,-130348,-111113,-31565,-74290,-75021,49887,12735,-77293,-154291,-2320,-146804,-100362,-75759,28239,-157013,-101560,7188,-83659,17096,-2593,46107,-93357,-143885,70843,-138269,-161484,-109552,28789,-151126,-152038,-155177,13780,-77637,-149713,66543
-1036984,86558,115348,252950,8948,-549080,-267667,-331890,-159519,-766302,-713059,-871706,370849,457283,-8400,-382032,49136,475382,-704565,-175942,232546,84985,70923,-115065,-168679,-127004,318480,756484,45279,113650,306526,-16078,-45904,-172006,-81361,182679,-108075,-48138,78500,-104324,-42276,44298,-113884,79094,39463,37016,-1449,78579,-42598,114157,-23979,-29535,-81598,-115290,-62646,-10628,-8904,25228,65180,-120880,-85607,41145,-9566,108044,-6067,-99397,-66046,-113707,53978,90915,29648,-508,73554,77404,-5724,52076,-132472,62643,67938,-77271,26764,-42239,30891,95542,-44432,-142592,59409,93460,47039,20178,44625,2474,34614,-26676,-31705,81623,1694,30305,-65387,61150,-154210,68658,-121523,-106404,-47,-73765,-51409,-76502,30361,-105004,-10837,-78167,-152478,-120382,-84213,13648,-21623,77778,69109,39380,-70227,-77871,106483,-107376,82915,-3828,47737,57536,-20368,-121221,-14302,-50836,-26905,-78440,119974,61463,56029,-54635,-8308,66842,-62866,-91064,58755,105709,-91181,14942,-96847,8910,38373,90861,100784,-96815,120109,-55771,-87544,72483,83816,39663,-81369,91653,2209,93908,71414,9112,16123,-77273,3999,59335,-73436,118918,136650,-70624,3764,-64037,-119826,85283,-26713,149029,-46882,-52341,92280,-69063,12359,-68380,185,5952,-118610,-5473,-74477,94474,-21509,96064,-8967,-125243,84478,-116484,1914,-51029,-4450,-73521,67200,-30590,116428,-104465,4121,-112811,-7141,33244,89502,-69788,60474,47400,94030,102816,60050,-5321,75561,31099,-95566,114371,60299,31807,77516,-54177,46832,-18225,109434,-5384,117178,88063,94663,-96831,133793,76453,-90211,-13507,-56235,52901,43595,-14031,96278,-30843,7631,61535,143282,-6588,15823,18306,-45651,86311,-40282,-42078,-23854,-15127,-57776,117076,59077,116381,-21873,41535,-25837,-92275,-25647,-121885,-17042,80572,47035,23232,-78922,-21047,26614,43138,-38979,88877,-117821,60474,-44568,118091,12706,-77706,82301,-80979,-54063,-114315,-36319,60752,87076,61972,-92999,47994,42923,-33737,32004,27173,64483,90290,-76693,87583,89122,-11807,47749,-70144,9831,-78824,104329,106385,-84047,-33606,99375,67219,135244,-99199,-67213,-121506,-31139,-43132,-32946,34229,95346,-10444,17335,-42759,78907,108536,-119423,1926,92677,49457,-55202,-53795,46395,44339,29229,-86106,-11089,-11766,-70735,-91484,-73703,17667,40252,-112413,-70070,66130,-67733,-96013,84582,65775,-13634,-77135,85144,115823,107272,92033,-42321,-116495,23430,-76986,61112,565
