,,,,,,,,,,,,整型,,,,,
迭代,lr,验证准确率,验证混淆>5,验证混淆>10,测试准确率,测试混淆>5,测试混淆>10,应用准确率,应用混淆>5,应用混淆>10,,验证准确率,验证混淆>5,验证混淆>10,测试准确率,测试混淆>5,测试混淆>10
1,0.05,0.909599341,68,52,0.912831425,73,55,0.928095123,95,74,,0.899190604,90,72,0.901896522,97,69
,,,,,,,,,,,,,,,,,
2,0.01,0.973620842,31,21,0.975256675,29,25,0.978836522,55,37,,0.963693704,47,30,0.965890558,43,30
,,,,,,,,,,,,,,,,,
3,0.005,0.993335301,19,15,0.993398674,17,11,0.994736864,31,21,,0.986064721,31,22,0.987107998,30,19
,,,,,,,,,,,,,,,,,
4,0.05,0.055259519,32,32,0.05524922,32,32,0.08044258,32,32,,0.055259519,32,32,0.05524922,32,32
,,,,,,,,,,,,,,,,,
5,0.01,0.974708322,44,30,0.972227831,43,33,0.97237367,64,50,,0.966334726,61,43,0.964244109,59,47
,,,,,,,,,,,,,,,,,
6,0.005,0.992325498,21,10,0.992466722,19,10,0.991449971,33,22,,0.987447374,32,16,0.986176046,34,18
,,,,,,,,,,,,,,,,,
7,0.05,0.893613385,80,45,0.893493422,74,49,0.919010974,107,71,,0.868383849,101,67,0.868610304,95,66
,,,,,,,,,,,,,,,,,
8,0.01,0.986623996,28,15,0.987993352,23,13,0.990739181,43,28,,0.98222747,43,20,0.981858002,42,21
,,,,,,,,,,,,,,,,,
9,0.005,0.980860352,30,18,0.980817322,27,18,0.982517842,44,36,,0.973543165,45,28,0.972243364,43,29
,,,,,,,,,,,,,,,,,
10,0.05,0.172427721,107,93,0.174026499,104,93,0.17527764,121,104,,0.164597865,81,73,0.165235085,79,70
,,,,,,,,,,,,,,,,,
11,0.01,0.97699203,23,14,0.977943803,24,16,0.984502303,37,30,,0.971445882,39,24,0.972289961,33,23
,,,,,,,,,,,,,,,,,
12,0.005,0.992434246,26,15,0.993258881,22,15,0.992678447,41,24,,0.987012382,37,21,0.987496311,36,20
,,,,,,,,,,,,,,,,,
13,0.05,0.806630521,155,116,0.812941706,153,110,0.787029923,230,179,,0.777097671,185,145,0.780618506,199,142
,,,,,,,,,,,,,,,,,
14,0.01,0.993723687,18,8,0.993134621,16,9,0.993035897,30,18,,0.989466979,23,15,0.988443796,19,12
,,,,,,,,,,,,,,,,,
15,0.005,0.996380245,17,8,0.996008139,15,8,0.995423003,22,17,,0.992636207,25,15,0.992715242,23,11
,,,,,,,,,,,,,,,,,
16,0.05,0.920629496,84,56,0.917972694,73,51,0.917790715,109,76,,0.902421973,93,67,0.900498594,89,64
,,,,,,,,,,,,,,,,,
17,0.01,0.99690845,14,8,0.996769233,16,5,0.9973294,22,16,,0.994702419,27,10,0.994268495,24,11
,,,,,,,,,,,,,,,,,
18,0.005,0.967080427,44,30,0.966573989,45,32,0.970163235,56,48,,0.955444391,57,40,0.953293674,58,38
,,,,,,,,,,,,,,,,,
19,0.05,0.92370551,57,34,0.925350647,57,38,0.927856823,82,62,,0.901645202,84,51,0.908808499,81,55
,,,,,,,,,,,,,,,,,
20,0.01,0.970886607,36,24,0.97295786,34,26,0.980106084,76,44,,0.960369122,55,36,,,
,,,,,,,,,,,,,,,,,
21,0.005,0.960897326,42,30,0.962054022,49,34,0.973170742,71,51,,0.943979245,76,57,,,
,,,,,,,,,,,,,,,,,
22,0.05,0.017166649,35,35,0.017178981,35,35,0.009084149,35,35,,0.020631049,37,36,,,
,,,,,,,,,,,,,,,,,
23,0.01,0.976774534,32,13,0.978301052,21,12,0.98581706,48,31,,0.969643773,44,24,,,
,,,,,,,,,,,,,,,,,
24,0.005,0.991750687,18,12,0.991876485,19,13,0.990628248,30,21,,,,,,,
,,,,,,,,,,,,,,,,,
25,0.05,0.977628983,32,25,0.978456377,34,24,0.981564643,50,36,,,,,,,
,,,,,,,,,,,,,,,,,
26,0.01,0.992030325,23,13,0.992777372,20,12,0.99127741,40,23,,,,,,,
,,,,,,,,,,,,,,,,,
27,0.005,0.988379499,24,16,0.990587285,21,11,0.989740788,36,21,,,,,,,
,,,,,,,,,,,,,,,,,
28,0.05,0.099970483,94,87,0.096752147,96,93,0.105065512,97,96,,,,,,,
,,,,,,,,,,,,,,,,,
29,0.01,0.989233948,22,18,0.989080629,19,15,0.990106454,37,22,,,,,,,
,,,,,,,,,,,,,,,,,
30,0.005,0.992946915,17,11,0.99301036,17,9,0.992193631,32,16,,,,,,,
,,,,,,,,,,,,,,,,,
31,0.05,0.83976759,91,68,0.834236809,92,69,0.80828379,124,103,,,,,,,
,,,,,,,,,,,,,,,,,
32,0.01,0.991517656,34,18,0.990121309,30,21,0.990036608,46,34,,,,,,,
,,,,,,,,,,,,,,,,,
33,0.005,0.986530784,20,9,0.986502229,21,14,0.989243645,36,28,,,,,,,
,,,,,,,,,,,,,,,,,
34,0.05,0.752489552,229,175,0.746804181,238,187,0.780308228,331,274,,,,,,,
,,,,,,,,,,,,,,,,,
35,0.01,0.995168482,13,6,0.993724857,15,10,0.992785271,32,19,,,,,,,
,,,,,,,,,,,,,,,,,
36,0.005,0.995370442,10,4,0.995184915,16,8,0.995365482,27,18,,,,,,,
,,,,,,,,,,,,,,,,,
37,0.05,0.894731936,91,69,0.891287802,99,73,0.913846445,148,118,,,,,,,
,,,,,,,,,,,,,,,,,
38,0.01,0.995727757,18,7,0.996023672,16,7,0.996162553,30,22,,,,,,,
,,,,,,,,,,,,,,,,,
39,0.005,0.988270751,25,13,0.98932915,25,15,0.989683267,38,26,,,,,,,
,,,,,,,,,,,,,,,,,
40,0.05,0.846432289,125,86,0.845591091,127,82,0.879716177,172,131,,,,,,,
,,,,,,,,,,,,,,,,,
41,0.01,0.995152946,14,10,0.99515385,13,9,0.995032684,25,15,,,,,,,
,,,,,,,,,,,,,,,,,
42,0.005,0.983812084,31,17,0.984203414,30,18,0.988647896,35,22,,,,,,,
,,,,,,,,,,,,,,,,,
43,0.05,0.955615281,51,36,0.955406098,58,33,0.960812027,81,61,,,,,,,
,,,,,,,,,,,,,,,,,
