迭代	lr	测试准确率	测试混淆>5	测试混淆>10	应用准确率	应用混淆>5	应用混淆>10
1	0.05	0.96996008139	36	20	0.980508728753	46	39
2	0.01	0.998400149112	5	2	0.997945692322	15	11
3	0.005	0.99860207204	3	1	0.997686849555	12	6
4	0.05	0.994330625495	11	5	0.996035186182	17	14
5	0.01	0.997623522468	5	3	0.998216860936	13	8
6	0.005	0.999673816809	1	0	0.99924812339	8	4
7	0.05	0.994392755627	17	7	0.994379414194	28	18
8	0.01	0.99849334431	3	2	0.998459269242	14	8
9	0.005	0.999036982961	2	2	0.998898891085	8	5
10	0.05	0.99790310806	8	4	0.996815823099	13	8
11	0.01	0.998415681645	7	3	0.998163448936	14	7
12	0.005	0.998462279244	5	2	0.998336010781	18	7
13	0.05	0.946754477253	41	27	0.96296083257	66	45
14	0.01	0.99860207204	2	2	0.998981063392	10	7
15	0.005	0.999425296283	1	0	0.998759198163	8	6
16	0.05	0.997701185132	9	3	0.997810108015	19	11
17	0.01	0.998555474441	6	1	0.99809771109	20	10
18	0.005	0.999347633619	2	1	0.999383707697	7	3
19	0.05	0.955173110079	45	32	0.973721296186	65	50
20	0.01	0.99940976375	3	1	0.998607179394	6	3
21	0.005	0.998648669639	6	3	0.997896388938	15	9
22	0.05	0.986098383063	18	9	0.986310093635	27	17
23	0.01	0.999751479474	1	0	0.99970828831	5	3
24	0.005	0.999363166152	3	0	0.999170059698	9	4
25	0.05	0.996877960889	11	2	0.996598066486	16	10
26	0.01	0.99919230829	3	2	0.999322078466	10	5
27	0.005	0.998508876843	5	4	0.998471595088	13	9
28	0.05	0.984886845498	30	17	0.985254179489	52	35
29	0.01	0.998928255231	4	2	0.998750980932	12	6
30	0.005	0.99951849148	1	0	0.999120756314	12	4
31	0.05	0.964741150339	27	13	0.955269504624	48	31
32	0.01	0.998959320296	4	1	0.998430508934	12	6
33	0.005	0.999580621612	1	0	0.999560378157	7	2
34	0.05	0.887855112533	83	53	0.903381801299	127	93
35	0.01	0.999394231217	1	0	0.998504464011	7	3
36	0.005	0.999673816809	1	0	0.999576812618	5	2
37	0.05	0.993678259114	14	9	0.993007136665	25	15
38	0.01	0.998695267237	4	2	0.997764913247	17	9
39	0.005	0.992777372206	7	4	0.995053227112	19	13
40	0.05	0.992932697535	10	6	0.992090915441	16	12
41	0.01	0.998695267237	3	2	0.996725433562	20	13
42	0.005	0.999596154145	1	1	0.999396033543	5	4
43	0.05	0.945869122878	54	37	0.96423450333	78	57
44	0.01	0.999596154145	1	0	0.999215254467	7	5
45	0.005	0.999642751744	2	1	0.999490531696	12	3
46	0.05	0.997996303257	7	2	0.997140403713	18	15
47	0.01	0.993957844706	5	3	0.99595712249	16	10
48	0.005	0.997840977928	5	4	0.996976059098	25	16
49	0.05	0.998431214178	4	2	0.998385314165	10	5
50	0.01	0.999596154145	0	0	0.9989029997	8	8
51	0.005	0.998244823783	4	2	0.99855787601	10	6
52	0.05	0.99720414408	5	4	0.997378703403	14	10
53	0.01	0.99849334431	3	3	0.997847085554	12	7
54	0.005	0.999378698684	2	0	0.999050909853	9	7
55	0.05	0.982417172768	9	6	0.98769469701	23	16
56	0.01	0.996644972896	9	4	0.996934972945	18	10
57	0.005	0.999052515494	2	2	0.998216860936	10	6
58	0.05	0.995200447337	9	5	0.995591455724	18	11
59	0.01	0.999502958948	1	0	0.999342621543	7	3
60	0.005	0.999332101086	3	0	0.998989280623	11	7
61	0.05	0.993181218061	23	12	0.994009638812	32	25
62	0.01	0.998772929902	5	3	0.999182385544	6	4
63	0.005	0.999068048027	4	2	0.998644156933	10	4
64	0.05	0.99930103602	3	1	0.998915325546	10	6
65	0.01	0.998990385362	2	1	0.997280096635	16	9
66	0.005	0.998850592566	6	2	0.997908714784	14	7
67	0.05	0.977291436915	24	16	0.98405035519	41	26
68	0.01	0.999363166152	3	1	0.999170059698	9	6
69	0.005	0.993522933785	15	9	0.996392635718	25	15
70	0.05	0.998089498455	6	4	0.997202032943	20	11
71	0.01	0.996365387304	10	6	0.997793673554	21	12
72	0.005	0.985896460136	23	16	0.988536963158	34	22
73	0.05	0.918329942064	46	30	0.933941682314	66	48
74	0.01	0.999580621612	1	0	0.99941657662	5	3
75	0.005	0.999316568553	3	1	0.9989564117	12	6
76	0.05	0.979714512045	42	22	0.983314913041	54	44
77	0.01	0.999471893882	3	0	0.999330295697	7	5
78	0.005	0.999269970954	2	1	0.999256340621	8	4
79	0.05	0.975505195632	42	25	0.981445493054	82	52
80	0.01	0.999285503487	2	1	0.998512681241	10	4
81	0.005	0.998726332303	5	2	0.998981063392	11	6
82	0.05	0.987620571287	17	7	0.985529456718	27	22
83	0.01	0.999394231217	2	1	0.998952303084	7	5
84	0.005	0.999673816809	0	0	0.999387816312	5	3
85	0.05	0.982494835433	15	10	0.989013562539	28	20
86	0.01	0.999596154145	1	0	0.999457662773	7	3
87	0.005	0.998897190165	4	2	0.998742763701	13	10
88	0.05	0.895481586182	59	41	0.922482754087	75	61
89	0.01	0.999704881875	0	0	0.999515183388	8	4
90	0.005	0.986144980662	6	3	0.991659510828	16	11
91	0.05	0.99731287181	8	4	0.995595564339	20	16
92	0.01	0.985244093754	18	16	0.983988725959	55	36
93	0.005	0.999145710691	3	2	0.9989029997	9	6
94	0.05	0.998679734704	6	2	0.998356553858	12	7
95	0.01	0.997343936876	10	5	0.99797445263	15	10
96	0.005	0.999083580559	3	1	0.999404250773	6	2
97	0.05	0.99683136329	4	2	0.994543758808	16	8
98	0.01	0.999363166152	2	0	0.999289209543	12	5
99	0.005	0.999767012007	0	0	0.999613790157	6	3
100	0.05	0.997359469409	8	4	0.996910321253	22	16
101	0.01	0.999114645625	1	1	0.998833153239	14	8
102	0.005	0.999254438421	2	1	0.999326187082	9	3
103	0.05	0.992699709542	17	9	0.995012140958	29	18
104	0.01	0.998757397369	5	2	0.998898891085	13	8
105	0.005	0.999114645625	5	1	0.999215254467	8	5
106	0.05	0.989826190957	14	9	0.992349758208	24	13
107	0.01	0.99951849148	1	1	0.999178276929	8	5
108	0.005	0.999378698684	1	0	0.998976954776	9	8
109	0.05	0.0548453736351	33	33	0.0679154118271	33	33
110	0.01	0.994019974837	21	14	0.994551976039	24	20
111	0.005	0.999394231217	3	1	0.999087887391	10	5
112	0.05	0.95431882077	32	14	0.938908998278	48	31
113	0.01	0.999658284276	2	0	0.99941657662	7	5
114	0.005	0.999238905888	2	0	0.998307250474	13	9
115	0.05	0.994019974837	14	8	0.995874950183	26	19
116	0.01	0.998757397369	5	3	0.998730437855	12	8
117	0.005	0.999767012007	0	0	0.999560378157	6	4
118	0.05	0.955934204191	44	34	0.956732171691	62	41
119	0.01	0.999223373355	2	0	0.999128973545	8	7
120	0.005	0.999099113092	3	2	0.99843461755	10	7
