/usr/bin/python2.7 /home/jdwang/PycharmProjects/digitRecognition/int_weight_predict/int_cnn.py
(64381, 1, 15, 15)
(243391, 1, 15, 15)
hidden1 time:0.000248s
hidden1 time:0.002144s
hidden1 time:0.000219s
hidden1 time:0.000136s
hidden1 time:0.000160s
hidden1 time:0.000218s
hidden1 time:0.000100s
hidden1 time:0.000187s
hidden1 time:0.000234s
hidden1 time:0.000142s
hidden1 time:0.003287s
hidden1 time:0.004374s
hidden1 time:0.000108s
hidden1 time:0.000176s
hidden1 time:0.000207s
hidden1 time:0.000109s
hidden1 time:0.000168s
hidden1 time:0.000221s
hidden1 time:0.000107s
hidden1 time:0.000194s
hidden1 time:0.000189s
hidden1 time:0.000140s
hidden1 time:0.003083s
hidden1 time:0.000232s
hidden1 time:0.003488s
hidden1 time:0.006239s
hidden1 time:0.001698s
hidden1 time:0.007330s
hidden1 time:0.000191s
hidden1 time:0.006136s
hidden1 time:0.000697s
hidden1 time:0.002657s
hidden1 time:0.000315s
hidden1 time:0.009666s
hidden1 time:0.000198s
hidden1 time:0.000691s
hidden1 time:0.000134s
hidden1 time:0.000414s
hidden1 time:0.000195s
hidden1 time:0.000126s
hidden1 time:0.006234s
hidden1 time:0.001103s
hidden1 time:0.004149s
hidden1 time:0.000970s
hidden1 time:0.000207s
hidden1 time:0.000155s
hidden1 time:0.000196s
hidden1 time:0.000221s
hidden1 time:0.000110s
hidden1 time:0.000192s
hidden1 time:0.000174s
hidden1 time:0.001635s
hidden1 time:0.000211s
hidden1 time:0.000213s
hidden1 time:0.000156s
hidden1 time:0.000453s
hidden1 time:0.000223s
hidden1 time:0.014012s
hidden1 time:0.005082s
hidden1 time:0.000233s
hidden1 time:0.000129s
hidden1 time:0.000513s
hidden1 time:0.000325s
hidden1 time:0.000142s
hidden1 time:0.000183s
hidden1 time:0.000301s
hidden1 time:0.000451s
hidden1 time:0.005039s
hidden1 time:0.000203s
hidden1 time:0.000119s
hidden1 time:0.000169s
hidden1 time:0.000525s
hidden1 time:0.000105s
hidden1 time:0.000205s
hidden1 time:0.003193s
hidden1 time:0.000114s
hidden1 time:0.002011s
hidden1 time:0.000247s
hidden1 time:0.001661s
hidden1 time:0.000241s
hidden1 time:0.000212s
hidden1 time:0.000143s
hidden1 time:0.000188s
hidden1 time:0.003768s
hidden1 time:0.001027s
hidden1 time:0.000209s
hidden1 time:0.000241s
hidden1 time:0.000156s
hidden1 time:0.002346s
hidden1 time:0.000217s
hidden1 time:0.005444s
hidden1 time:0.000242s
hidden1 time:0.000524s
hidden1 time:0.000134s
hidden1 time:0.000296s
hidden1 time:0.000243s
hidden1 time:0.001627s
hidden1 time:0.000996s
hidden1 time:0.000226s
hidden1 time:0.000141s
hidden1 time:0.000198s
hidden1 time:0.000233s
hidden1 time:0.000144s
hidden1 time:0.002359s
hidden1 time:0.000228s
hidden1 time:0.000264s
hidden1 time:0.000211s
hidden1 time:0.000270s
hidden1 time:0.011129s
hidden1 time:0.009266s
hidden1 time:0.001819s
hidden1 time:0.001274s
hidden1 time:0.000217s
hidden1 time:0.006342s
hidden1 time:0.005321s
hidden1 time:0.002903s
hidden1 time:0.001284s
hidden1 time:0.000170s
hidden1 time:0.000518s
hidden1 time:0.000801s
hidden1 time:0.001725s
hidden1 time:0.001803s
hidden1 time:0.002901s
hidden1 time:0.004534s
hidden1 time:0.005096s
hidden1 time:0.004463s
hidden1 time:0.000224s
hidden1 time:0.001163s
hidden1 time:0.000293s
hidden1 time:0.000158s
hidden1 time:0.000197s
hidden1 time:0.000445s
hidden1 time:0.000442s
hidden1 time:0.001609s
hidden1 time:0.001338s
hidden1 time:0.003996s
hidden1 time:0.001809s
hidden1 time:0.003037s
hidden1 time:0.000492s
hidden1 time:0.000515s
hidden1 time:0.000226s
hidden1 time:0.005348s
hidden1 time:0.010764s
hidden1 time:0.004213s
hidden1 time:0.008052s
hidden1 time:0.014718s
hidden1 time:0.000486s
hidden1 time:0.000408s
hidden1 time:0.000245s
hidden1 time:0.004218s
hidden1 time:0.001484s
hidden1 time:0.005544s
hidden1 time:0.007315s
hidden1 time:0.000300s
hidden1 time:0.000693s
hidden1 time:0.000800s
hidden1 time:0.000233s
hidden1 time:0.000332s
hidden1 time:0.001050s
hidden1 time:0.001330s
hidden1 time:0.000187s
hidden1 time:0.000228s
hidden1 time:0.000119s
hidden1 time:0.000188s
hidden1 time:0.000182s
hidden1 time:0.000131s
hidden1 time:0.000213s
hidden1 time:0.002968s
hidden1 time:0.001117s
hidden1 time:0.000235s
hidden1 time:0.004080s
hidden1 time:0.007836s
hidden1 time:0.003953s
hidden1 time:0.005161s
hidden1 time:0.009090s
hidden1 time:0.001726s
hidden1 time:0.001803s
hidden1 time:0.002285s
hidden1 time:0.000262s
hidden1 time:0.002693s
hidden1 time:0.000148s
hidden1 time:0.000218s
hidden1 time:0.000221s
hidden1 time:0.000146s
hidden1 time:0.003384s
hidden1 time:0.000433s
hidden1 time:0.000135s
hidden1 time:0.000665s
